"station","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"CVD",2014,2.14,8.66,5.29,4.19,0.88,0.23,2,0.09,0.97,NA,NA,NA,24.45
"CVT",1990,6.14,5.6,4.41,2.37,5.7,0,0.19,0.2,0.31,0.7,1.91,1.59,29.12
"CVT",1991,0.65,2.45,19.25,2.02,2.97,1.58,0,0.05,0.46,6.09,2.63,2.9,41.05
"CVT",1992,2.11,10.76,6.3,0.66,0.17,1.68,2.47,0.03,0.06,5.7,0.64,18.46,49.04
"CVT",1993,20.96,13.3,7.59,2.54,1.88,3.51,0,0,0,2.2,2.92,3.34,58.24
"CVT",1994,4.04,10.7,0.87,5.36,1.81,0,0,0,0.71,1.98,11.37,6.25,43.09
"CVT",1995,25.07,1.7,25.31,10.01,8.45,1.99,0.01,0,0,0,0.43,11.89,84.86
"CVT",1996,15.24,15.37,6.97,5.28,4.94,1.18,0,0.01,0.3,2.93,8.05,23.56,83.83
"CVT",1997,28.09,1.13,0.55,1.27,0.8,2.21,0.25,0.01,0.27,2.31,7.56,5.42,49.87
"CVT",1998,18.99,22.14,7.6,6.97,7.22,1.16,0,0,2.1,0.64,7.01,5.49,79.32
"CVT",1999,13.65,17.35,5.25,4.86,1.73,0.98,0,0.09,0.06,1.9,4.24,0.98,51.09
"CVT",2000,20.9,19.44,3.74,3.31,5.02,0.85,0,0.02,1.94,5.12,1.95,2.06,64.35
"CVT",2001,7.23,9.53,3.86,7.47,0,0.15,0.1,0,0.72,1.37,9.65,13.02,53.1
"CVT",2002,3.6,4.43,8.71,2.76,2.78,0,0,0,0,0,6.96,14.72,43.96
"CVT",2003,1.71,4.34,4.45,13.45,2.95,0,0.5,1.32,0,0.04,4.46,14.98,48.2
"CVT",2004,3.41,10.57,1.8,0.87,0.9,0,0.08,0,0.2,9.22,3.2,12.42,42.67
"CVT",2005,14.53,7.52,11.48,3.51,5.89,1.54,0.01,0,1.66,1.65,4.17,21.67,73.63
"CVT",2006,11.36,6.38,15.82,14.61,2.55,0,0.09,0,0.03,1.71,4.77,6.86,64.18
"CVT",2007,2.2,14.11,2.83,3.67,1.97,0.34,0,0.16,0.22,2.2,1.42,7.3,36.42
"CVT",2008,12.75,8.38,1.33,0.77,1.57,0,0,0,0,1.69,5.2,9.46,41.15
"CVT",2009,6.12,11.24,10.11,3.3,4.07,0.23,0.01,0.04,0.06,6.69,1.28,8.53,51.68
"CVT",2010,9.68,8.44,5.98,8.48,5.44,0,0,0.01,0.01,10.93,11.05,19.2,79.22
"CVT",2011,3.41,8.83,18.63,2.07,4.71,3.79,0,0,0.28,3.88,1.68,0.02,47.3
"CVT",2012,8.65,3.16,10.65,5.11,0.3,1.35,0,0.02,0.27,2.31,12.8,14.23,58.85
"CVT",2013,0.98,1.09,3.88,1.09,1.08,0.9,0,0,0.7,0.1,1.39,1.51,12.72
"CVT",2014,0.97,11.4,5.76,1.05,0.38,0.01,0.34,0.03,1.9,NA,NA,NA,21.84
"DMS",1990,7.43,5.81,1.83,1.85,2.64,2.64,0.42,0.82,1.51,0.09,1.3,1.75,28.09
"DMS",1991,0.16,1.53,14.09,3.89,2.72,0.68,0.48,1.28,0.57,3.7,3.05,1.9,34.05
"DMS",1992,1.03,6.26,1.89,0.48,0.44,1.26,0.4,0.12,0.3,3.8,0.43,13.06,29.47
"DMS",1993,10.61,10.81,3.79,2.41,1.56,1.89,0.02,0.06,0.02,1.89,1.96,2.42,37.44
"DMS",1994,1.32,7.17,1.39,0.72,1.08,0,0,0,0.59,0.39,7.19,4.11,23.96
"DMS",1995,12.39,1.54,20.89,6.69,4.73,1.04,0.28,0.05,0,0,0.95,8.86,57.42
"DMS",1996,10.06,11.13,5.45,3.46,4.91,0.5,0.38,0.79,1.59,2.08,5.69,20.2,66.24
"DMS",1997,19.79,1.12,0.96,1.25,0.67,2.45,0.25,0.06,0.42,1.45,3.47,3.67,35.56
"DMS",1998,11.34,11.83,5.59,2.78,2.88,1.9,0.38,1.31,4.3,1.13,6.44,3.68,53.56
"DMS",1999,10.24,15.2,4.71,3.96,1.69,0.62,0,1.18,0.36,2.46,2.44,1.48,44.34
"DMS",2000,11.85,12.43,1.35,2.16,2.48,0.34,0,0.03,0.97,3.2,1.48,1.49,37.78
"DMS",2001,2.54,4.82,2.76,3.36,0.16,0,0,0,0.45,0.88,7.86,9.87,32.7
"DMS",2002,4.12,2.37,5.58,1.99,0.52,0.05,0.17,0,0,0,7.3,12.38,34.48
"DMS",2003,2.19,1.87,3.7,7.94,1.62,0.25,0.51,1.26,0.1,0.01,1.66,11.73,32.84
"DMS",2004,3.64,7.59,1.11,0.41,0,0,0,0,0.17,3.7,2.55,7.86,27.03
"DMS",2005,7.7,1.74,6.97,2.29,5.56,1.54,0,0,0.35,1.6,3.46,24.99,56.2
"DMS",2006,7.26,2.67,10.81,5.74,0.92,0.78,0,0.24,0,0.41,4.21,1.47,34.51
"DMS",2007,1.55,10.95,2.5,2.02,0.93,0.3,0,0.18,1.05,1.92,0.9,4.42,26.72
"DMS",2008,11.03,6.39,2.05,0.17,1.14,0,0,NA,0.03,1.25,4.03,6.5,32.59
"DMS",2009,2.13,6.44,7.23,0.17,5.67,0.98,0.2,0.25,0.02,4.1,1.63,7.6,36.42
"DMS",2010,7.39,3.77,5.83,5.58,NA,NA,NA,NA,NA,NA,5.52,13.68,41.77
"DMS",2011,5.38,5.56,14.95,3.27,3.02,2.78,0.18,0,1.65,2.27,1.77,0.13,40.96
"DMS",2012,5.86,2.19,14.03,3.15,0.37,0.9,0.24,0.61,0.14,2.62,3.09,10.88,44.08
"DMS",2013,1.41,0.3,2.81,0.23,1.25,1,0,0,0.35,0.9,0.1,1.75,10.1
"DNM",1990,11.97,3.13,3.6,0.93,12.99,0.07,0.14,0.73,0.48,1.17,1.25,1.6,38.06
"DNM",1991,2,5.91,17.98,1.78,1.43,1.48,0.3,0.14,0,1.41,3.14,5.2,40.77
"DNM",1992,5.67,18.62,9.09,4,0,3.02,0.06,0,0,4.43,1.32,16.96,63.17
"DNM",1993,16.32,10.23,11.41,4.99,5.52,1.94,0,0.75,0.02,2.07,2.51,11.29,67.05
"DNM",1994,7.99,7.23,0.94,2.86,2.78,0.13,0,0,0.58,0.22,7.92,5.77,36.42
"DNM",1995,39.2,2.45,25.73,8.8,2.48,3.39,0.51,0,0.03,0.03,0.86,18.36,101.84
"DNM",1996,12.01,16.8,5.21,6.35,8.18,0.38,0.15,0.12,1.26,2.67,10.95,38.29,102.37
"DNM",1997,9.06,0.93,2.95,3.71,0.74,2.92,0.61,1.91,1.57,2.73,13.7,4.55,45.38
"DNM",1998,23.82,27.48,9.33,6.01,8.77,2.38,0.65,0,1.09,1.79,18.87,3.34,103.53
"DNM",1999,8.71,17.85,6.84,3.78,0.88,0.22,0,0.23,0,2.74,10.57,1.69,53.51
"DNM",2000,22.14,22.89,4.04,6.87,1.54,0.74,0,0.31,1.39,4.42,1.66,4.08,70.08
"DNM",2001,5.97,12.53,6.37,2.53,0.49,3.05,0.06,0.03,2.07,3.49,15.3,16.15,68.04
"DNM",2002,7.76,6.56,5.2,2.17,2.08,0.17,0.01,0.02,0.13,0,6.36,34.04,64.5
"DNM",2003,8.94,2.81,7.95,12.81,0.85,0.02,0.48,1.08,0.14,0,9.87,17.75,62.7
"DNM",2004,6.48,21.68,2.35,2.96,1.06,0.24,0,0.05,0.02,8.14,1.34,16.47,60.79
"DNM",2005,7.72,6.08,9.61,4.96,7.6,4.55,0,0,0.23,2.41,11.48,25.72,80.36
"DNM",2006,15.6,2.27,18.71,10.44,2.96,0.8,0,0,0,0.14,8.74,13.18,72.84
"DNM",2007,1.53,13.87,1.66,2.13,1.06,0.46,0.78,0.05,0.65,5.91,0.97,11.31,40.38
"DNM",2008,16.28,6.11,0.87,0.85,1.34,0,0,0.29,0,4.03,6.74,5.53,42.04
"DNM",2009,1.05,15.5,12.32,1.61,6.75,1.5,0,0.24,0.14,6.22,3.86,8.92,58.11
"DNM",2010,22.06,12.24,7.41,9.33,3.59,1.66,0,0.05,0.87,8.02,5.92,19.14,90.29
"DNM",2011,2.03,8.03,22.13,2.86,2.93,2.43,0.24,0,0.13,2.71,5.65,1.71,50.85
"DNM",2012,8.87,3.88,18.11,7.7,1,2.02,0,0,0,2,16.01,17.6,77.19
"DNM",2013,1.91,0.48,5.07,1.44,1.07,2.57,0.03,0.02,4.31,0.07,1.37,0.32,18.66
"DNM",2014,0.61,12.23,11.27,2.66,0.41,0,NA,NA,NA,NA,NA,NA,27.18
"DRC",2000,18.58,23.49,4.65,2.62,3.81,0.73,0,0,1.96,7.56,2.24,4.5,70.14
"DRC",2001,7.17,10.32,5.15,4.08,0.04,0.17,0,0,0.77,1.73,12.4,19.18,61.01
"DRC",2002,6.18,5.05,10.13,2.29,1.95,0,0,0,0,0,10.35,24.73,60.68
"DRC",2003,5.19,3.41,6.11,12.72,3.65,0,0.02,1.31,0,0.53,4.65,9.96,47.55
"DRC",2004,6.79,15,2.13,1.89,0.94,0,0,0,0,8.76,4.64,14.49,54.64
"DRC",2005,12.29,6.73,16.61,4.81,13.05,4.47,0,0,0.98,2.08,7.11,40.13,108.26
"DRC",2006,12.46,10.72,23.07,19.84,NA,0,0,0,0,0,7.25,5.74,79.08
"DRC",2007,0.02,14.93,1.64,4.41,1.56,0.67,0,0.04,1.64,5.1,2.07,12.47,44.55
"DRC",2008,14.08,9.36,2.43,0.84,1.16,0,0,0,0,2.47,7.72,7.23,45.29
"DRC",2009,3.35,16.71,7.9,2.16,7.78,0.44,0,0,0.05,4.88,2.83,11.07,57.17
"DRC",2010,9.79,8.91,9.31,12.29,6.2,0.39,0,0.12,0.03,11.15,10.94,25.09,94.22
"DRC",2011,3.1,12.24,25.97,4.6,5.35,3.76,0,0,0.01,5.64,3.97,0.37,65.01
"DRC",2012,10.21,6.1,24.2,9.3,1.22,NA,0.07,0.02,NA,5.12,19.61,19.31,95.16
"DRC",2013,1.1,1.44,6.03,2,1.57,3.36,0,0,2.29,0.83,1.86,2.07,22.55
"DRC",2014,2.4,20.3,11.57,3.63,1.45,NA,0.13,0.39,0.98,NA,NA,NA,40.85
"DSB",1990,12.34,6.28,3.92,1.63,8.78,0.06,0.12,0.72,0.31,2.67,1.2,1.99,40.02
"DSB",1991,1.56,4.24,27.1,2.12,2.32,0.89,0,0,0.03,3.81,1.84,6.84,50.75
"DSB",1992,5.28,19.02,7.73,3.75,0.61,2.72,0,0.06,0,5.44,1.06,17.2,62.87
"DSB",1993,21.87,15.26,7.29,4.2,4.1,3.23,0,0.93,0,2.68,4.35,9.66,73.57
"DSB",1994,5.39,12.56,1.46,5.7,2.58,0.29,0,0,NA,0.64,11,13,52.62
"DSB",1995,39.56,1.64,26.74,12.36,5.61,3.56,0,0,0,0,0.33,18.16,107.96
"DSB",1996,12.52,16.37,5.83,6.95,7.31,1.07,0,0,0,3.58,7.13,31.59,92.35
"DSB",1997,24.7,1.25,2.37,3.3,0.86,1.38,0.19,1.26,0.5,4.72,13.62,5.47,59.62
"DSB",1998,22.33,26.95,7.3,6.04,11.52,2.31,0,0,0.84,2.14,14.8,4.1,98.33
"DSB",1999,6.81,17.49,6.18,4.04,0.19,0.21,0,0.18,0,3,8.31,2.04,48.45
"DSB",2000,13.9,28.07,6.65,4.29,2.38,0.68,0,0,1.22,7.09,2.36,3.66,70.3
"DSB",2001,9.21,15.33,5.18,4.91,0.06,0.43,0.12,0,0.68,2.73,13.84,19.73,72.22
"DSB",2002,8.24,4.14,6.34,2.51,1.29,0,0.07,0,0,0,5.21,36.49,64.29
"DSB",2003,9.43,5.52,8.02,14.75,3.55,0,0,0.37,0.01,0.24,6.44,22.33,70.66
"DSB",2004,8,19.53,2.44,1.97,1.2,0.12,0,0,0.18,11.81,2.75,14,62
"DSB",2005,10.26,5.13,9.98,5.01,9.87,2.97,0,0,0.15,2.74,7.86,32.19,86.16
"DSB",2006,12.57,10.45,20.55,15.42,2.13,0.75,0,0,0,0.18,6.34,12.79,81.18
"DSB",2007,0.34,16.17,1.01,4.57,1.12,0.38,0.62,0,1.5,4.49,1.59,9.64,41.43
"DSB",2008,16.64,8.35,1.24,0.91,0.38,0.06,0,0,0,4.49,5.37,8.18,45.62
"DSB",2009,4.68,22.84,7.47,0.94,5.98,0.76,0,0,0.96,5.97,2.87,9.63,62.1
"DSB",2010,22.48,9.62,4.89,11.83,3.5,0,0,0.04,0.2,8.52,8.69,19.14,88.91
"DSB",2011,2.63,12.72,21.25,2.06,8,3.3,0,0,0.09,4.81,2.96,0.44,58.26
"DSB",2012,9.22,3.8,18.59,6.76,0.13,0.96,NA,NA,NA,2.29,15.17,21.9,78.82
"DSB",2013,1.66,1.31,5.45,1.04,0.94,2.28,0,0.14,2.09,0.64,2.96,0.73,19.24
"DSB",2014,1.28,14.14,14.61,2.35,0.42,0,0.07,1.08,0.19,NA,NA,NA,34.14
"DTV",1990,0.37,0.1,0.05,0,0.01,0.04,0.15,0,0.56,0,0,0.2,1.48
"DTV",1991,0,0.51,1,0,0.06,0,0.19,0,0.02,0,0,0.25,2.03
"DTV",1992,0.53,1.03,0.75,0,0.01,0,0.02,0,0,0.15,0,0.87,3.36
"DTV",1993,0.67,1.35,0.47,0,0,0,0,0,0,0,0.03,0.06,2.58
"DTV",1994,0.04,0.05,0.14,0.01,0,0,0,0,0.01,0,0,0.03,0.28
"DTV",1995,2.59,0.17,0.31,0,0.07,0.02,0,0,0,0.02,0,0.07,3.25
"DTV",1996,0,0.33,0.15,0,0.12,0,0,0,0,0.42,0.18,0.11,1.31
"DTV",1997,0,0.01,0,0,0,0,0.29,0,1.48,0,0.11,0.52,2.41
"DTV",1998,0.09,2.31,0.74,0.17,0.16,0.22,0.02,0.04,0.42,0.06,0,0,4.23
"DTV",1999,0.14,0,0,0.46,0.07,0,0.42,0,0,0,0,0,1.09
"DTV",2000,0,0.43,0.29,0,0,0,0,0.24,0,0.02,0,0,0.98
"DTV",2001,1.03,1.33,0.05,0.02,0.01,0,0.25,0,0,0,0.01,0,2.7
"DTV",2002,0,0,0.2,0,0,0,0.06,0,0,0.05,0.02,0.15,0.48
"DTV",2003,0,1.16,0.05,0.63,0.01,0,0.05,0.15,0,0,0.67,0.24,2.96
"DTV",2004,0,0.85,0.04,0,1.56,0,0,0.33,0.53,0.14,0.78,1.31,5.54
"DTV",2005,1.84,1.26,0.2,0.05,0,0,0,0.39,0.75,0.12,0.01,0,4.62
"DTV",2006,0.06,0.04,0.24,0.24,0.01,0,0.11,0,0.52,0.2,0,0.06,1.48
"DTV",2007,0.02,0.04,0.08,0.07,0.63,0,0,0,0.63,0,0,0.55,2.02
"DTV",2008,0.06,0,0,0,0.01,0,0.04,0,0,0.15,0.61,0.04,0.91
"DTV",2009,0.03,1.36,0,0,0,0.57,0.02,0.02,0,0,0.03,0.04,2.07
"DTV",2010,1.56,1.53,0.02,0.09,0,0,0.01,0,0,0.13,0.02,0.47,3.83
"DTV",2011,0.08,0.14,0.1,0,0.07,0,0.27,0.53,0.09,0,0.01,0.03,1.32
"DTV",2012,0.02,0.01,0,0.23,0,0,0,0.74,0,0.59,0,0.02,1.61
"DTV",2013,0.17,0,0.57,0,0,0,0.75,0.07,0.23,0,0.38,0,2.17
"DTV",2014,0,0,0.36,0.11,0.02,0,0.05,0.15,0.76,NA,NA,NA,1.45
"DVS",1990,4.12,3.7,0.76,0.31,1.85,0,0,0,0.02,0.14,0.27,1.34,12.51
"DVS",1991,0.32,2.84,8,0.79,0.12,0.28,0,0,0.01,0.52,0.21,2.13,15.22
"DVS",1992,1.58,8.55,3.63,0.55,0,0.2,0,0,0,1.72,0.15,6.16,22.54
"DVS",1993,10.78,6.04,1.9,0.63,0.73,1.53,0,0,0,0.37,2.1,1.71,25.79
"DVS",1994,2.28,3.32,0.08,0.75,1.25,0,0,0,0.04,0.61,4.03,2.79,15.15
"DVS",1995,12.48,0.22,8.13,0.73,1.48,0.71,0,0,0,0,0.02,6.64,30.41
"DVS",1996,4.42,7.06,2.16,1.78,2.42,0,0,0,0,1.31,1.43,6.73,27.31
"DVS",1997,8.66,0.27,0.52,0.07,0.32,0.21,0,0.16,0.05,0.48,4.89,2.23,17.86
"DVS",1998,4.8,11.38,1.69,1.48,2.47,0.06,0,0,0.5,0.67,2.01,1.06,26.12
"DVS",1999,3.56,4.03,1.73,1.21,0.07,0.02,0,0,0,0.2,1.42,0.09,12.33
"DVS",2000,4.76,7.46,1.62,1.31,0.77,0.15,0,0,0.19,2.21,0.7,0.34,19.51
"DVS",2001,2.82,5.14,2.39,0.89,0,0.12,0,0,0.26,0.38,2.88,6.71,21.59
"DVS",2002,2.39,0.56,1.64,0.06,0.65,0,0,0,0,0,2.82,8.5,16.62
"DVS",2003,1.94,1.37,2.95,2.66,0.84,0,0.06,0.84,0,0,1.42,5.34,17.42
"DVS",2004,2.37,6.58,0.47,0.15,0.04,0,0,0,0.01,2.53,2.85,3.98,18.98
"DVS",2005,3.14,3.39,2.53,0.77,0.08,0.61,0,0,0,0.08,1.42,9.76,21.78
"DVS",2007,0,3.34,0.16,1.72,0.36,0,0,0,0.2,1.35,0.83,2.84,10.8
"DVS",2008,8.16,2.59,0.01,0,0.02,0,0,0,0,0.38,2.26,1.86,15.28
"DVS",2009,1.46,6.23,1.62,0.64,0.73,0.49,0,0,NA,4.09,0.31,2.25,17.82
"DVS",2010,6.61,2.87,1.11,NA,0.6,NA,NA,NA,NA,0.91,2.11,5.49,19.7
"DVS",2011,1.89,3.47,6.35,NA,0.96,1.73,0,0,0.01,1.18,1.22,0.4,17.21
"DVS",2012,3.05,0.87,4.06,2.01,0,0.04,0,0,0,0.66,3.55,7.33,21.57
"DVS",2013,0.85,0.18,0.9,0.79,0.62,0.14,0,0,0.67,0,0.68,0.39,5.22
"DWV",1990,10.19,6.44,3.35,2.11,8.24,0.27,0.15,0.24,1.52,1.25,1.63,1.79,37.18
"DWV",1991,0.91,4.1,26.51,2.61,3.81,2.19,0.72,0.68,0,4.23,3.63,5,54.39
"DWV",1992,2.95,13.84,5.14,3.21,0.05,2.46,0.08,0,0,7.24,1.17,16.08,52.22
"DWV",1993,21.11,12.34,9.13,5.01,4.68,2.74,0.01,0.64,0.1,3.36,4.63,8.46,72.21
"DWV",1994,3.36,10.86,1.29,3.52,2.62,0.08,0,0,1.1,0.56,12.43,11.92,47.74
"DWV",1995,32.84,2.16,27.79,9.5,7.72,3.2,0,0,0,0,1.27,16.72,101.2
"DWV",1996,17.08,16.78,6.72,9.71,9.73,0.39,0.21,0,1.44,2.25,6.79,35.25,106.35
"DWV",1997,24.62,1.33,3.5,1.64,0.95,1.88,0,0.63,0.72,4.12,9.2,5.24,53.83
"DWV",1998,19.39,22.64,7.59,6.33,9.37,1.09,0,0,1.83,1.83,16.4,4.06,90.53
"DWV",1999,12.38,18,4.74,3.49,1.51,0.35,0,0.18,0.14,3.03,7.04,2.09,52.95
"DWV",2000,17.61,22.93,4,3.06,3.27,0.51,0,0,1.25,5.17,2.83,3.78,64.41
"DWV",2001,5.48,8.66,4.83,4.89,0.28,0.37,0,0,0.82,2.17,10.7,16.33,54.53
"DWV",2002,6.32,3.98,7.89,2.51,2.24,0,0,0,0,0,9.36,24.87,57.17
"DWV",2003,6.98,3.51,7.06,12.76,3.49,0,0,1.52,0,0.66,4.09,19.27,59.34
"DWV",2004,7.19,14.63,2.85,2.31,1.17,0.14,0,0,0.55,7.69,2.89,11.1,50.52
"DWV",2005,11.04,4.33,12.11,4.55,9.89,2.18,0,0,0.45,2.19,8.76,29.71,85.21
"DWV",2006,11.51,10.15,11.42,16.49,2.86,0.34,0,0,0,0.89,8.32,9.32,71.3
"DWV",2007,1.74,16.23,2.32,4.45,1.94,1.23,0,0.04,1.08,3.95,1.56,8.12,42.66
"DWV",2008,17.37,7.74,2.54,0.67,1.56,0,0,0,0.01,4.54,6.27,7.39,48.09
"DWV",2009,3.84,15.08,10.33,1.86,6.72,0.55,0.01,0.38,0.03,5.9,3,8.12,55.82
"DWV",2010,13.74,6.92,8.91,9.47,5.14,0.1,0,0.1,0.04,8.51,10.6,21.46,84.99
"DWV",2011,2.67,10.2,22.69,5.49,5.21,3.78,0,0,0.39,4.94,3.47,0.3,59.14
"DWV",2012,8.41,4.19,20.18,8.51,0.41,1.63,0.09,0.05,0,5.22,17.7,17.93,84.32
"DWV",2013,1.93,1.47,4.44,1.54,1.48,1.72,0,0.03,3.72,0.86,1.61,1.62,20.42
"DWV",2014,1.86,13.9,12.25,2.5,1.9,0,0.06,0.95,1.35,NA,NA,NA,34.77
"DYL",1990,0.68,0.75,0.38,0.81,0.75,0.06,1.73,0.08,0.51,0.1,0.38,0.63,6.86
"DYL",1991,0.01,0.15,4.08,0.22,0.44,0.5,0.62,0.21,0.55,0.44,0.75,0.25,8.22
"DYL",1992,0.09,0.42,0.45,0,1.24,0.85,0.26,0.51,0.08,1.48,0.03,3.21,8.62
"DYL",1993,4.95,2.56,0.44,0.51,0.71,0.88,0.38,0,0.07,0.78,0.76,1.29,13.33
"DYL",1994,0.04,1.14,1.11,0.26,1.37,0.01,0,0,0.78,0.31,3.07,0.85,8.94
"DYL",1995,6.72,0.76,6.54,2.66,2.67,1.52,1.72,0,0,0,0.43,3.88,26.9
"DYL",1996,4.55,4.62,2.55,1.05,1.04,0.53,0.39,0.18,0.3,2.28,1.18,6.69,25.36
"DYL",1997,5.78,0.29,0.23,0.91,0.33,1.45,0.38,0,0.25,0.63,0.68,0.7,11.63
"DYL",1998,1.26,2.19,1.32,0.63,1.71,2.89,0.37,0.57,2.6,0.65,2.49,1.43,18.11
"DYL",1999,2.94,3.07,0.71,0.38,0,0.42,0,0.43,0,1.35,0.32,0.06,9.68
"DYL",2000,3.77,2.12,0.67,0.81,0.76,0.16,0,0.14,0.09,0.5,0.88,0.17,10.07
"DYL",2001,0.37,0.33,0.56,0.38,0,0,0,0,0.33,0.25,1.47,2.54,6.23
"DYL",2002,0.58,0.47,0.56,1.11,0.05,0.58,0.04,0,0,0.2,2.14,3.89,9.62
"DYL",2003,0.82,0.48,0.9,0.67,0.14,0,0,1.85,0.13,0.1,0.24,2.97,8.3
"DYL",2004,0.7,2.02,0.54,0.01,0.43,0.76,0.75,0.42,0.03,1.5,1.97,1.84,10.97
"DYL",2005,1.13,0.15,1.12,0.36,0.47,0.46,0,0,0.61,0.1,0.13,NA,4.53
"DYL",2006,2.94,2.89,1.82,2.27,0.43,0.1,0.11,0,0,0.41,0.75,0.57,12.29
"DYL",2007,0.55,2.31,0.37,0.36,0.03,0.56,0.02,NA,NA,0.91,0.24,0.41,5.76
"DYL",2008,2.71,0.8,0.39,0.2,0.78,0,0.11,0,0,0.1,1.31,0.92,7.32
"DYL",2009,0.43,0.2,1.8,0.5,0.07,0.97,0.88,0,0,1.51,0.4,1.96,8.72
"DYL",2010,1.91,1.08,0.9,1.61,0.57,0,0,0.38,0,3.67,1.1,3.27,14.49
"DYL",2011,0.12,2.08,2.55,0.37,0.64,2.22,0,0,0.19,0.97,0.27,0,9.41
"DYL",2012,2.29,0.45,1.46,0.32,0,0,NA,NA,NA,NA,NA,NA,4.52
"DYL",2014,0.58,1.88,1.38,0.18,NA,0,0.14,1.38,NA,NA,NA,NA,5.54
"EGL",1990,5,5,3.9,1.6,3.4,0.5,0,0,0,0,1.6,1.7,22.7
"EGL",1991,1.9,2.2,19.1,1.1,0.9,0.1,0,0,0.1,0,1.9,1.9,29.2
"EGL",1992,2.8,7.5,3,0.3,0.1,0,0.9,0,0,4.6,0.1,8.5,27.8
"EGL",1993,13.4,9,5.1,1,0.1,3.2,0,0,0,0.7,4.6,3.3,40.4
"EGL",1994,1.8,9.3,3.2,4.1,1.8,0,0,0,0.3,2,5.3,1.5,29.3
"EGL",1995,16,2,15,4.3,5.3,0.8,0,0,0,0,0.2,6,49.6
"EGL",1996,9.8,14.6,5.1,3.4,0.4,0,0,0.6,0.1,2.5,12.61,16,65.11
"EGL",1997,20,1.9,0.4,0,0,0,0,0.3,0.8,2.1,6.8,8.6,40.9
"EGL",1998,9,14.7,12.7,8.3,5,0.1,0,0,1.5,0.8,3.4,3,58.5
"EGL",1999,7.6,4,2.7,4.7,0.2,0.2,0.12,0.1,0,0,1.9,0.4,21.92
"EGL",2000,8.8,14.1,3.1,2.5,1.7,0.5,0,0,0.3,4.2,0.7,0.2,36.1
"EGL",2001,6.5,7.8,1,6.7,0,0,0.5,0,0,0,8.6,10.3,41.4
"EGL",2002,4.6,0.1,6.96,0.9,1.7,0,0,0,0,0,14.9,6.2,35.36
"EGL",2003,0.9,5.1,5,6.3,4.1,0,0,0,0,0,2.7,9.7,33.8
"EGL",2004,3.41,8.51,1.25,0.5,0,0,0.1,0,0,4.9,1.85,5.85,26.37
"EGL",2005,13.8,3.35,8.25,3.25,3.55,0,0,0,0,0,1.01,7.34,40.55
"EGL",2006,8,3.8,12.26,9.02,0.42,0.11,2.11,0.11,0,0.5,0.5,6.72,43.55
"EGL",2007,1.81,7.22,2.91,3.81,0.4,0.1,0.2,0,0.41,0.9,0.31,7.32,25.39
"EGL",2008,10.51,10.81,0.6,0.4,1.16,0.33,0.01,0,0,1.11,5.15,6.82,36.9
"EGL",2009,3.33,6.93,3.47,2.44,2.03,0.83,0,0,0,3.93,0.83,8.43,32.22
"EGL",2010,6.94,9.82,4.72,6.42,1.92,0.21,0.01,0.1,NA,2.22,5.61,22.42,60.39
"EGL",2011,2.63,5.61,9.53,2.52,4.52,0.21,0.92,0.34,1.24,4.22,3.22,0,34.96
"EGL",2012,5.51,3.51,7.62,7.92,0.14,0.11,0.11,0.12,0.29,1.6,2.09,9.81,38.83
"EGL",2013,3.39,2.55,1.08,1.52,1.25,0.42,0.82,0.66,0.07,1.11,0.97,1.36,15.2
"ELC",1990,3.41,1.39,1.43,0.95,0.34,0.68,0.06,0.14,0,0.22,0.86,1.18,10.66
"ELC",1991,1.46,1.95,10.61,0.17,0.01,0,0.88,0.09,0.62,1.45,0.3,1.51,19.05
"ELC",1992,3.08,3.73,4.76,0.66,0.22,0,0.03,0.37,0,0.84,0.1,4.16,17.95
"ELC",1993,14.92,5.72,1.71,0,0,0.82,0,0.32,0,0.29,1.69,1.25,26.72
"ELC",1994,1.47,3.65,4.48,2.35,0.16,0,0.04,0,0,0.12,1.25,1.07,14.59
"ELC",1995,9.42,3.52,9.56,2.31,1.09,0.76,0.03,0,0.05,0.01,0.35,0.49,27.59
"ELC",1996,1.69,3.94,3.8,0.8,0,0,0.01,0,0.02,0.89,2.18,2.74,16.07
"ELC",1997,5.94,1.83,0.06,0.16,0.2,0.05,0.02,0,1.43,0.3,1.86,3.37,15.22
"ELC",1998,3.05,12.38,4.83,3.09,2.18,0.28,0,0.1,0.12,0.13,2.27,0.17,28.6
"ELC",1999,2.78,1.02,0.91,2.88,0.12,0.22,0.01,0,0.19,0,0,0.55,8.68
"ELC",2000,0.94,5.02,1.7,1.1,0.12,0,0,0.08,0.32,0.92,0.61,0.06,10.87
"ELC",2001,3.71,3.99,2.22,1.72,0.27,0,0.03,0,0,0,1.31,1.58,14.83
"ELC",2002,0.63,0.26,1.47,0.44,0,0,0,0,0.59,0.05,2.5,3.19,9.13
"ELC",2003,0.15,4.84,2.79,1.82,1.37,0.13,0,0.05,0.04,0,1.49,1.48,14.16
"ELC",2004,0.7,5.49,0.58,1.28,0.06,0,0.22,0,0,7.67,1.37,2.88,20.25
"ELC",2005,5.42,5.99,1.88,1.15,0.36,0,0.08,0,0.02,1.09,0.01,0.05,16.05
"ELC",2006,1.21,2.04,3.95,2.27,0.41,0,0.1,0.07,0.05,0.42,0.6,1.06,12.18
